title,price,link,unit_sold,rating_count,stars
The Diary of a CEO: The 33 Laws of Business and Life by Steven Bartlett,Rs. 432,https://www.daraz.com.np/products/the-diary-of-a-ceo-the-33-laws-of-business-and-life-by-steven-bartlett-i129909050.html,138 sold,19,4
Ikigai: The Japanese Secret To A Long And Happy Life,Rs. 156,https://www.daraz.com.np/products/ikigai-the-japanese-secret-to-a-long-and-happy-life-i151997408.html,297 sold,36,4
Rich Dad Poor Dad Book By Robert Kiyosaki,Rs. 149,https://www.daraz.com.np/products/rich-dad-poor-dad-book-by-robert-kiyosaki-i115490645.html,381 sold,94,4
I Don't Love You Anymore By Rithvik Singh,Rs. 130,https://www.daraz.com.np/products/i-dont-love-you-anymore-by-rithvik-singh-i157475348.html,32 sold,9,4
The Art of Laziness By Library Mindset : Overcome Procrastination & Improve Your Productivity,Rs. 130,https://www.daraz.com.np/products/the-art-of-laziness-by-library-mindset-overcome-procrastination-improve-your-productivity-i176902206.html,26 sold,2,5
"Srimad Bhagavad Gita Yatharup (Hardcover, Nepali) By Swami Prabhupada",Rs. 535,https://www.daraz.com.np/products/srimad-bhagavad-gita-yatharup-hardcover-nepali-by-swami-prabhupada-i108185142.html,100 sold,25,4
The Power Of Your Subconscious Mind By Joseph Murphy,Rs. 168,https://www.daraz.com.np/products/the-power-of-your-subconscious-mind-by-joseph-murphy-i161553902.html,32 sold,3,4
Karnali Blues By Buddhisagar,Rs. 698,https://www.daraz.com.np/products/karnali-blues-by-buddhisagar-i100828132.html,182 sold,33,4
Market Wizards Book by Jack D. Schwager,Rs. 537,https://www.daraz.com.np/products/market-wizards-book-by-jack-d-schwager-i152760150.html,56 sold,9,4
The Intelligent Investor (English) Paperback Benjamin Graham,Rs. 394,https://www.daraz.com.np/products/the-intelligent-investor-english-paperback-benjamin-graham-i127869458.html,222 sold,52,4
The Subtle Art Of Not Giving Fu*k A By Mark Manson,Rs. 150,https://www.daraz.com.np/products/the-subtle-art-of-not-giving-fuk-a-by-mark-manson-i170643807.html,53 sold,12,5
Atomic Habits By James Clear,Rs. 180,https://www.daraz.com.np/products/atomic-habits-by-james-clear-i164927029.html,75 sold,15,4
How To Talk To Anyone By Leil Lowndes,Rs. 299,https://www.daraz.com.np/products/how-to-talk-to-anyone-by-leil-lowndes-i115654279.html,483 sold,77,4
The Richest Man In Babylon by George S. Clason,Rs. 120,https://www.daraz.com.np/products/the-richest-man-in-babylon-by-george-s-clason-i155062145.html,53 sold,7,4
"The Power of your Subconscious Mind By Joseph Murphy (Premium Paperback, Penguin) - The Most Compelling Self-Help Guide Ever Written - Original and Unabridged",Rs. 285,https://www.daraz.com.np/products/the-power-of-your-subconscious-mind-by-joseph-murphy-premium-paperback-penguin-the-most-compelling-self-help-guide-ever-written-original-and-unabridged-i106724405.html,191 sold,47,4
I Don't Love You Anymore + Warmth  (Rithvik Singh best books),Rs. 365,https://www.daraz.com.np/products/i-dont-love-you-anymore-warmth-rithvik-singh-best-books-i157598953.html,19 sold,4,5
Technical Analysis of the Financial Markets by John J. Murphy,Rs. 461,https://www.daraz.com.np/products/technical-analysis-of-the-financial-markets-by-john-j-murphy-i177668226.html,47 sold,8,4
IELTS 18 Academic Student's Book with Answers with Audio with Resource Bank,"Rs. 1,199",https://www.daraz.com.np/products/ielts-18-academic-students-book-with-answers-with-audio-with-resource-bank-i128376427.html,254 sold,45,4
The Subtle Art Of Not Giving A F*ck By Mark Manson,Rs. 187,https://www.daraz.com.np/products/the-subtle-art-of-not-giving-a-fck-by-mark-manson-i128282415.html,265 sold,62,4
Seto Dharti - Amar Neupane -2068 Bs Madan Puraskar Winner,Rs. 610,https://www.daraz.com.np/products/seto-dharti-amar-neupane-2068-bs-madan-puraskar-winner-i103376598.html,218 sold,54,4
Norwegian Wood By Haruki Murakami,Rs. 469,https://www.daraz.com.np/products/norwegian-wood-by-haruki-murakami-i115613460.html,213 sold,45,4
The Laws of Human Nature Robert Greene,Rs. 410,https://www.daraz.com.np/products/the-laws-of-human-nature-robert-greene-i127958340.html,89 sold,19,3
The Art Of Public Speaking By Dale Carnegie,Rs. 175,https://www.daraz.com.np/products/the-art-of-public-speaking-by-dale-carnegie-i108172447.html,137 sold,26,4
"The Art of Being Alone: Loneliness Was My Cage, Solitude Is My Home Book By Renuka Gavrani",Rs. 154,https://www.daraz.com.np/products/the-art-of-being-alone-loneliness-was-my-cage-solitude-is-my-home-book-by-renuka-gavrani-i179068816.html,70 sold,7,5
Combo : Ikigai + The Psychology Of Money (Set of 2 Books),Rs. 330,https://www.daraz.com.np/products/combo-ikigai-the-psychology-of-money-set-of-2-books-i179688523.html,12 sold,3,5
I Don't Love You Anymore + Warmth,Rs. 315,https://www.daraz.com.np/products/i-dont-love-you-anymore-warmth-i157645363.html,60 sold,5,4
Shireesh Ko Phool By Parijat Madan Puraskar 2022 Bs Winner,Rs. 250,https://www.daraz.com.np/products/shireesh-ko-phool-by-parijat-madan-puraskar-2022-bs-winner-i103552552.html,282 sold,56,4
Radha By Krishna Dharabasi A Novel,Rs. 490,https://www.daraz.com.np/products/radha-by-krishna-dharabasi-a-novel-i128465552.html,33 sold,3,5
Do Epic Shit by Ankur Warikoo,Rs. 305,https://www.daraz.com.np/products/do-epic-shit-by-ankur-warikoo-i115112751.html,89 sold,16,4
Better Than the Movies by Lynn Painter,Rs. 447,https://www.daraz.com.np/products/better-than-the-movies-by-lynn-painter-i129791598.html,41 sold,5,4
The Intelligent Investor By Benjamin Graham,Rs. 318,https://www.daraz.com.np/products/the-intelligent-investor-by-benjamin-graham-i128304781.html,36 sold,6,4
The Art of Public Speaking By Dale Carnegie,Rs. 169,https://www.daraz.com.np/products/the-art-of-public-speaking-by-dale-carnegie-i153934308.html,15 sold,5,3
"Zero to One : Notes on Startups, Or How to Build the Future Book by Blake Masters and Peter Thiel",Rs. 322,https://www.daraz.com.np/products/zero-to-one-notes-on-startups-or-how-to-build-the-future-book-by-blake-masters-and-peter-thiel-i153891173.html,63 sold,5,4
